PlayerName,Teams,Span,Matches,Innings,NotOuts,Runs,HighestScore,BattingAverage,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes,BowlInnings,Overs,Maidens,RunsConceded,Wickets,BestBowlingInnings,BowlingAverage,Economy,BowlingStrikeRate,FourWickets,FiveWickets
PP Chawla,"Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians",2008-2024,192,92,36,624,24*,11.14,563,110.83,0,0,16,56,20,191,641.4,2,5108,192,4/17,26.6,7.96,20,2,0
PP Ojha,"Deccan Chargers, Mumbai Indians",2008-2015,92,23,11,16,3,1.33,45,35.55,0,0,6,0,0,90,316.3,1,2332,89,3/11,26.2,7.36,21.3,0,0
PP Shaw,"Delhi Capitals, Delhi Daredevils",2018-2024,79,79,0,1892,99,23.94,1283,147.46,0,14,7,238,61,-,-,-,-,-,-,-,-,-,-,-
PR Shah,"Mumbai Indians, Rajasthan Royals",2008-2011,16,10,2,92,29,11.5,91,101.09,0,0,1,9,2,-,-,-,-,-,-,-,-,-,-,-
PR Veer,Chennai Super Kings,2026-2026,2,2,1,49,43,49,36,136.11,0,0,0,7,1,-,-,-,-,-,-,-,-,-,-,-
PSP Handscomb,Rising Pune Supergiants,2016-2016,2,1,0,6,6,6,12,50,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
PV Tambe,"Gujarat Lions, Rajasthan Royals",2013-2016,33,6,4,18,7*,9,39,46.15,0,0,0,1,0,33,110.0,0,853,28,4/20,30.46,7.75,23.5,1,0
PVD Chameera,"Delhi Capitals, Kolkata Knight Riders, Lucknow Super Giants",2022-2025,19,11,7,53,17,13.25,42,126.19,0,0,2,3,3,18,62.0,0,603,13,2/17,46.38,9.72,28.6,0,0
PVSN Raju,Mumbai Indians,2025-2025,2,1,1,1,1*,-,1,100,0,0,0,0,0,2,4.0,0,53,1,1/40,53,13.25,24,0,0
PW Hasaranga,"Rajasthan Royals, Royal Challengers Bangalore",2021-2025,37,19,4,81,18,5.4,88,92.04,0,0,5,7,1,37,133.0,1,1119,46,5/18,24.32,8.41,17.3,2,1
PWA Mulder,Sunrisers Hyderabad,2025-2025,1,1,0,9,9,9,11,81.81,0,0,0,1,0,1,1.0,0,16,0,-,-,16,-,0,0
Pankaj Singh,"Rajasthan Royals, Royal Challengers Bangalore",2008-2012,17,5,3,7,4*,3.5,12,58.33,0,0,1,0,0,17,50.0,1,468,11,2/18,42.54,9.36,27.2,0,0
Parvez Rasool,"Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad",2013-2016,11,5,3,17,10,8.5,20,85,0,0,0,1,0,11,33.0,0,271,4,1/20,67.75,8.21,49.5,0,0
Prabhsimran Singh,"Kings XI Punjab, Punjab Kings",2019-2026,55,54,0,1436,103,26.59,942,152.44,1,8,4,145,80,-,-,-,-,-,-,-,-,-,-,-
Prince Yadav,Lucknow Super Giants,2025-2026,10,2,2,5,4*,-,10,50,0,0,0,0,0,10,37.5,0,357,9,2/20,39.66,9.43,25.2,0,0
Q de Kock,"Delhi Daredevils, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad",2013-2025,115,115,7,3309,140*,30.63,2469,134.02,2,24,4,325,134,-,-,-,-,-,-,-,-,-,-,-
R Ashwin,"Chennai Super Kings, Delhi Capitals, Kings XI Punjab, Rajasthan Royals, Rising Pune Supergiants",2009-2025,221,98,34,833,50,13.01,705,118.15,0,1,12,64,29,217,785.0,4,5652,187,4/34,30.22,7.2,25.1,1,0
R Bhatia,"Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants",2008-2017,95,49,19,342,26*,11.4,284,120.42,0,0,3,24,13,91,272.4,1,2020,71,4/15,28.45,7.4,23,1,0
R Bishnoi,Royal Challengers Bangalore,2009-2009,3,3,0,19,18,6.33,17,111.76,0,0,1,1,2,-,-,-,-,-,-,-,-,-,-,-
R Dhawan,"Kings XI Punjab, Mumbai Indians, Punjab Kings",2013-2024,39,24,13,210,25*,19.09,187,112.29,0,0,1,18,7,36,110.2,1,891,25,2/14,35.64,8.07,26.4,0,0
R Dravid,"Rajasthan Royals, Royal Challengers Bangalore",2008-2013,89,82,5,2174,75*,28.23,1882,115.51,0,11,3,268,28,-,-,-,-,-,-,-,-,-,-,-
R Goyal,Mumbai Indians,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4.0,0,33,0,-,-,8.25,-,0,0
R McLaren,"Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians",2010-2013,18,13,5,159,51*,19.87,171,92.98,0,1,1,14,1,18,59.0,0,542,12,2/28,45.16,9.18,29.5,0,0
R Minz,Mumbai Indians,2025-2025,2,2,0,6,3,3,15,40,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
R Ninan,Royal Challengers Bangalore,2011-2011,2,1,0,3,3,3,6,50,0,0,0,0,0,2,6.0,0,65,3,2/31,21.66,10.83,12,0,0
R Parag,Rajasthan Royals,2019-2026,88,76,13,1611,95,25.57,1134,142.06,0,7,3,113,91,31,50.1,0,488,8,1/7,61,9.72,37.6,0,0
R Powell,"Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals",2022-2026,31,24,4,404,67*,20.2,273,147.98,0,1,2,26,30,2,3.0,0,35,1,1/18,35,11.66,18,0,0
R Rampaul,Royal Challengers Bangalore,2013-2014,12,7,2,51,23*,10.2,50,102,0,0,3,3,2,12,43.4,4,298,14,3/31,21.28,6.82,18.7,0,0
R Ravindra,Chennai Super Kings,2024-2025,18,18,1,413,65*,24.29,287,143.9,0,2,2,40,16,2,2.0,0,7,0,-,-,3.5,-,0,0
R Sai Kishore,Gujarat Titans,2022-2025,25,5,1,18,13,4.5,16,112.5,0,0,0,0,2,25,73.3,0,651,32,4/33,20.34,8.85,13.7,1,0
